Source IP,Destination IP,Protocol,Source Port,Destination Port,Length
52.178.17.3,192.168.1.7,6,443,49733,1514
52.178.17.3,192.168.1.7,6,443,49733,1514
52.178.17.3,192.168.1.7,6,443,49733,1514
192.168.1.7,52.178.17.3,6,49733,443,54
52.178.17.3,192.168.1.7,6,443,49733,206
192.168.1.7,52.178.17.3,6,49733,443,54
192.168.1.7,52.178.17.3,6,49733,443,1955
52.178.17.3,192.168.1.7,6,443,49733,54
52.178.17.3,192.168.1.7,6,443,49733,157
52.178.17.3,192.168.1.7,6,443,49733,518
192.168.1.7,52.178.17.3,6,49733,443,54
192.168.1.7,52.178.17.3,6,49733,443,78
192.168.1.7,52.178.17.3,6,49733,443,54
52.178.17.3,192.168.1.7,6,443,49733,54
34.120.52.64,192.168.1.7,6,443,49359,81
192.168.1.7,34.120.52.64,6,49359,443,85
34.120.52.64,192.168.1.7,6,443,49359,54
192.168.1.7,192.168.1.1,17,65410,53,89
192.168.1.7,192.168.1.1,17,58746,53,89
192.168.1.1,192.168.1.7,17,53,65410,105
192.168.1.1,192.168.1.7,17,53,58746,117
192.168.1.7,192.168.1.1,17,137,137,110
192.168.1.1,192.168.1.7,17,137,137,104
192.168.1.7,192.168.1.1,17,137,137,110
192.168.1.1,192.168.1.7,17,137,137,104
192.168.1.7,192.168.1.1,17,137,137,110
192.168.1.1,192.168.1.7,17,137,137,104
192.168.1.7,192.168.1.1,17,58076,53,74
192.168.1.7,20.198.119.143,6,49536,443,55
20.198.119.143,192.168.1.7,6,443,49536,66
34.120.52.64,192.168.1.7,6,443,49359,81
192.168.1.7,34.120.52.64,6,49359,443,85
34.120.52.64,192.168.1.7,6,443,49359,54
192.168.1.7,192.168.1.1,17,50068,53,72
192.168.1.7,192.168.1.1,17,56524,53,72
192.168.1.7,192.168.1.1,17,59600,53,79
192.168.1.7,192.168.1.1,17,51110,53,79
192.168.1.1,192.168.1.7,17,53,50068,120
192.168.1.1,192.168.1.7,17,53,59600,95
192.168.1.1,192.168.1.7,17,53,56524,156
192.168.1.7,192.168.1.1,17,51110,53,79
192.168.1.1,192.168.1.7,17,53,51110,142
192.168.1.7,34.111.35.151,17,51745,443,1292
192.168.1.7,34.111.35.151,17,51745,443,1292
34.111.35.151,192.168.1.7,17,443,51745,1292
34.111.35.151,192.168.1.7,17,443,51745,1292
34.111.35.151,192.168.1.7,17,443,51745,1292
34.111.35.151,192.168.1.7,17,443,51745,1292
34.111.35.151,192.168.1.7,17,443,51745,516
192.168.1.7,34.111.35.151,17,51745,443,81
192.168.1.7,34.111.35.151,17,51745,443,206
192.168.1.7,34.111.35.151,6,50303,443,66
192.168.1.7,34.111.35.151,17,51745,443,1288
192.168.1.7,34.111.35.151,17,51745,443,284
34.111.35.151,192.168.1.7,6,443,50303,66
192.168.1.7,34.111.35.151,6,50303,443,54
192.168.1.7,34.111.35.151,6,50303,443,1847
34.111.35.151,192.168.1.7,17,443,51745,626
34.111.35.151,192.168.1.7,17,443,51745,163
34.111.35.151,192.168.1.7,17,443,51745,65
34.111.35.151,192.168.1.7,17,443,51745,202
192.168.1.7,34.111.35.151,17,51745,443,73
192.168.1.7,34.111.35.151,17,51745,443,77
34.111.35.151,192.168.1.7,6,443,50303,54
34.111.35.151,192.168.1.7,6,443,50303,54
34.111.35.151,192.168.1.7,6,443,50303,1466
34.111.35.151,192.168.1.7,6,443,50303,690
34.111.35.151,192.168.1.7,6,443,50303,1466
192.168.1.7,34.111.35.151,6,50303,443,54
34.111.35.151,192.168.1.7,6,443,50303,690
34.111.35.151,192.168.1.7,6,443,50303,646
192.168.1.7,34.111.35.151,6,50303,443,54
192.168.1.7,34.111.35.151,6,50303,443,118
34.111.35.151,192.168.1.7,17,443,51745,66
34.111.35.151,192.168.1.7,6,443,50303,672
192.168.1.7,34.111.35.151,6,50303,443,54
192.168.1.7,192.168.1.1,17,50068,53,77
192.168.1.7,192.168.1.1,17,59600,53,77
192.168.1.1,192.168.1.7,17,53,59600,77
192.168.1.1,192.168.1.7,17,53,50068,205
192.168.1.7,44.237.42.158,6,50304,443,66
44.237.42.158,192.168.1.7,6,443,50304,66
192.168.1.7,44.237.42.158,6,50304,443,54
192.168.1.7,44.237.42.158,6,50304,443,1877
44.237.42.158,192.168.1.7,6,443,50304,54
44.237.42.158,192.168.1.7,6,443,50304,54
44.237.42.158,192.168.1.7,6,443,50304,1514
44.237.42.158,192.168.1.7,6,443,50304,1514
44.237.42.158,192.168.1.7,6,443,50304,1514
192.168.1.7,44.237.42.158,6,50304,443,54
44.237.42.158,192.168.1.7,6,443,50304,878
192.168.1.7,44.237.42.158,6,50304,443,54
192.168.1.7,44.237.42.158,6,50304,443,118
192.168.1.7,44.237.42.158,6,50304,443,146
192.168.1.7,44.237.42.158,6,50304,443,416
192.168.1.7,44.237.42.158,6,50304,443,1679
44.237.42.158,192.168.1.7,6,443,50304,54
44.237.42.158,192.168.1.7,6,443,50304,200
44.237.42.158,192.168.1.7,6,443,50304,125
192.168.1.7,44.237.42.158,6,50304,443,54
192.168.1.7,44.237.42.158,6,50304,443,85
44.237.42.158,192.168.1.7,6,443,50304,295
44.237.42.158,192.168.1.7,6,443,50304,85
192.168.1.7,44.237.42.158,6,50304,443,54
44.237.42.158,192.168.1.7,6,443,50304,54
192.168.1.7,34.111.35.151,6,50303,443,54
192.168.1.7,192.168.1.1,17,51804,53,79
192.168.1.7,192.168.1.1,17,56006,53,79
192.168.1.1,192.168.1.7,17,53,51804,95
192.168.1.7,192.168.1.1,17,56006,53,79
192.168.1.1,192.168.1.7,17,53,56006,142
192.168.1.7,34.111.35.151,17,57872,443,1292
192.168.1.7,34.111.35.151,17,57872,443,1292
192.168.1.1,192.168.1.7,17,53,56006,79
34.111.35.151,192.168.1.7,17,443,57872,1292
34.111.35.151,192.168.1.7,17,443,57872,1292
34.111.35.151,192.168.1.7,17,443,57872,1292
34.111.35.151,192.168.1.7,17,443,57872,1292
34.111.35.151,192.168.1.7,17,443,57872,505
192.168.1.7,34.111.35.151,17,57872,443,81
192.168.1.7,34.111.35.151,17,57872,443,209
192.168.1.7,34.111.35.151,6,50403,443,66
192.168.1.7,34.111.35.151,17,57872,443,1288
192.168.1.7,34.111.35.151,17,57872,443,284
34.111.35.151,192.168.1.7,17,443,57872,626
34.111.35.151,192.168.1.7,17,443,57872,163
192.168.1.7,34.111.35.151,17,57872,443,73
34.111.35.151,192.168.1.7,17,443,57872,65
34.111.35.151,192.168.1.7,17,443,57872,202
192.168.1.7,34.111.35.151,17,57872,443,77
34.111.35.151,192.168.1.7,6,443,50403,66
192.168.1.7,34.111.35.151,6,50403,443,54
192.168.1.7,34.111.35.151,6,50403,443,1879
34.111.35.151,192.168.1.7,6,443,50403,54
34.111.35.151,192.168.1.7,6,443,50403,54
34.111.35.151,192.168.1.7,6,443,50403,1466
34.111.35.151,192.168.1.7,6,443,50403,690
34.111.35.151,192.168.1.7,6,443,50403,1466
34.111.35.151,192.168.1.7,6,443,50403,690
192.168.1.7,34.111.35.151,6,50403,443,54
34.111.35.151,192.168.1.7,6,443,50403,646
34.111.35.151,192.168.1.7,17,443,57872,66
192.168.1.7,34.111.35.151,6,50403,443,118
34.111.35.151,192.168.1.7,6,443,50403,672
192.168.1.7,34.111.35.151,6,50403,443,54
192.168.1.7,192.168.1.1,17,55112,53,77
